Plot Title: HOBO_2352,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 21162352, SEN S/N: 21162352)",End Of File (LGR S/N: 21162352)
51,02/12/24 06:00:00 PM,0.232,
52,02/12/24 07:00:00 PM,-2.610,
53,02/12/24 08:00:00 PM,-4.272,
54,02/12/24 09:00:00 PM,-5.372,
55,02/12/24 10:00:00 PM,-5.125,
56,02/12/24 11:00:00 PM,-6.120,
57,02/13/24 12:00:00 AM,-5.745,
58,02/13/24 01:00:00 AM,-6.120,
59,02/13/24 02:00:00 AM,-6.754,
60,02/13/24 03:00:00 AM,-6.882,
61,02/13/24 04:00:00 AM,-6.882,
62,02/13/24 05:00:00 AM,-7.397,
63,02/13/24 06:00:00 AM,-7.657,
64,02/13/24 07:00:00 AM,-8.182,
65,02/13/24 08:00:00 AM,-8.447,
66,02/13/24 09:00:00 AM,-6.754,
67,02/13/24 10:00:00 AM,-4.031,
68,02/13/24 11:00:00 AM,2.195,
69,02/13/24 12:00:00 PM,2.517,
70,02/13/24 01:00:00 PM,4.519,
71,02/13/24 02:00:00 PM,5.450,
72,02/13/24 03:00:00 PM,5.450,
73,02/13/24 04:00:00 PM,5.347,
74,02/13/24 05:00:00 PM,4.102,
75,02/13/24 06:00:00 PM,2.410,
76,02/13/24 07:00:00 PM,-2.030,
77,02/13/24 08:00:00 PM,-2.494,
78,02/13/24 09:00:00 PM,-3.316,
79,02/13/24 10:00:00 PM,-3.792,
80,02/13/24 11:00:00 PM,-3.553,
81,02/14/24 12:00:00 AM,-3.553,
82,02/14/24 01:00:00 AM,-2.727,
83,02/14/24 02:00:00 AM,-2.030,
84,02/14/24 03:00:00 AM,-2.494,
85,02/14/24 04:00:00 AM,-0.887,
86,02/14/24 05:00:00 AM,-2.030,
87,02/14/24 06:00:00 AM,-2.844,
88,02/14/24 07:00:00 AM,-2.030,
89,02/14/24 08:00:00 AM,-2.962,
90,02/14/24 09:00:00 AM,-3.792,
91,02/14/24 10:00:00 AM,0.563,
92,02/14/24 11:00:00 AM,4.415,
93,02/14/24 12:00:00 PM,3.261,
94,02/14/24 01:00:00 PM,6.064,
95,02/14/24 02:00:00 PM,7.179,
96,02/14/24 03:00:00 PM,7.983,
97,02/14/24 04:00:00 PM,7.983,
98,02/14/24 05:00:00 PM,5.860,
99,02/14/24 06:00:00 PM,4.934,
100,02/14/24 07:00:00 PM,2.088,
101,02/14/24 08:00:00 PM,1.656,
102,02/14/24 09:00:00 PM,2.195,
103,02/14/24 10:00:00 PM,1.330,
104,02/14/24 11:00:00 PM,1.003,
105,02/15/24 12:00:00 AM,1.112,
106,02/15/24 01:00:00 AM,0.563,
107,02/15/24 02:00:00 AM,-0.213,
108,02/15/24 03:00:00 AM,-2.030,
109,02/15/24 04:00:00 AM,0.893,
110,02/15/24 05:00:00 AM,3.367,
111,02/15/24 06:00:00 AM,3.472,
112,02/15/24 07:00:00 AM,2.624,
113,02/15/24 08:00:00 AM,2.837,
114,02/15/24 09:00:00 AM,1.872,
115,02/15/24 10:00:00 AM,3.788,
116,02/15/24 11:00:00 AM,6.674,
117,02/15/24 12:00:00 PM,8.481,
118,02/15/24 01:00:00 PM,6.370,
119,02/15/24 02:00:00 PM,5.860,
120,02/15/24 03:00:00 PM,8.082,
121,02/15/24 04:00:00 PM,7.983,
122,02/15/24 05:00:00 PM,7.682,
123,02/15/24 06:00:00 PM,6.064,
124,02/15/24 07:00:00 PM,2.943,
125,02/15/24 08:00:00 PM,1.003,
126,02/15/24 09:00:00 PM,1.764,
127,02/15/24 10:00:00 PM,1.330,
128,02/15/24 11:00:00 PM,2.303,
129,02/16/24 12:00:00 AM,2.303,
130,02/16/24 01:00:00 AM,1.548,
131,02/16/24 02:00:00 AM,0.563,
132,02/16/24 03:00:00 AM,-1.001,
133,02/16/24 04:00:00 AM,-1.341,
134,02/16/24 05:00:00 AM,-1.228,
135,02/16/24 06:00:00 AM,-0.774,
136,02/16/24 07:00:00 AM,0.121,
137,02/16/24 08:00:00 AM,-0.325,
138,02/16/24 09:00:00 AM,0.121,
139,02/16/24 10:00:00 AM,2.624,
140,02/16/24 11:00:00 AM,5.141,
141,02/16/24 12:00:00 PM,5.552,
142,02/16/24 01:00:00 PM,4.623,
143,02/16/24 02:00:00 PM,7.782,
144,02/16/24 03:00:00 PM,8.282,
145,02/16/24 04:00:00 PM,7.882,
146,02/16/24 05:00:00 PM,6.471,
147,02/16/24 06:00:00 PM,4.727,
148,02/16/24 07:00:00 PM,3.683,
149,02/16/24 08:00:00 PM,3.367,
150,02/16/24 09:00:00 PM,3.155,
151,02/16/24 10:00:00 PM,2.624,
152,02/16/24 11:00:00 PM,2.624,
153,02/17/24 12:00:00 AM,0.674,
154,02/17/24 01:00:00 AM,-2.494,
155,02/17/24 02:00:00 AM,-3.079,
156,02/17/24 03:00:00 AM,-3.197,
157,02/17/24 04:00:00 AM,-3.911,
158,02/17/24 05:00:00 AM,-6.626,
159,02/17/24 06:00:00 AM,-8.982,
160,02/17/24 07:00:00 AM,-9.799,
161,02/17/24 08:00:00 AM,-12.807,
162,02/17/24 09:00:00 AM,-8.982,
163,02/17/24 10:00:00 AM,-6.373,
164,02/17/24 11:00:00 AM,-1.799,
165,02/17/24 12:00:00 PM,-0.437,
166,02/17/24 01:00:00 PM,-0.887,
167,02/17/24 02:00:00 PM,0.232,
168,02/17/24 03:00:00 PM,1.548,
169,02/17/24 04:00:00 PM,1.221,
170,02/17/24 05:00:00 PM,0.232,
171,02/17/24 06:00:00 PM,-1.341,
172,02/17/24 07:00:00 PM,-4.880,
173,02/17/24 08:00:00 PM,-5.496,
174,02/17/24 09:00:00 PM,-5.870,
175,02/17/24 10:00:00 PM,-6.754,
176,02/17/24 11:00:00 PM,-7.138,
177,02/18/24 12:00:00 AM,-6.754,
178,02/18/24 01:00:00 AM,-7.138,
179,02/18/24 02:00:00 AM,-7.138,
180,02/18/24 03:00:00 AM,-1.684,
181,02/18/24 04:00:00 AM,-1.114,
182,02/18/24 05:00:00 AM,-1.456,
183,02/18/24 06:00:00 AM,-1.684,
184,02/18/24 07:00:00 AM,-3.553,
185,02/18/24 08:00:00 AM,-3.316,
186,02/18/24 09:00:00 AM,-2.261,
187,02/18/24 10:00:00 AM,-0.437,
188,02/18/24 11:00:00 AM,0.674,
189,02/18/24 12:00:00 PM,0.893,
190,02/18/24 01:00:00 PM,1.656,
191,02/18/24 02:00:00 PM,2.837,
192,02/18/24 03:00:00 PM,3.049,
193,02/18/24 04:00:00 PM,2.837,
194,02/18/24 05:00:00 PM,1.439,
195,02/18/24 06:00:00 PM,0.343,
196,02/18/24 07:00:00 PM,-2.727,
197,02/18/24 08:00:00 PM,-3.792,
198,02/18/24 09:00:00 PM,-3.434,
199,02/18/24 10:00:00 PM,-2.962,
200,02/18/24 11:00:00 PM,-4.031,
201,02/19/24 12:00:00 AM,-4.272,
202,02/19/24 01:00:00 AM,-2.962,
203,02/19/24 02:00:00 AM,-3.672,
204,02/19/24 03:00:00 AM,-4.636,
205,02/19/24 04:00:00 AM,-5.496,
206,02/19/24 05:00:00 AM,-4.758,
207,02/19/24 06:00:00 AM,-4.031,
208,02/19/24 07:00:00 AM,-4.031,
209,02/19/24 08:00:00 AM,-4.758,
210,02/19/24 09:00:00 AM,-3.434,
211,02/19/24 10:00:00 AM,2.303,
212,02/19/24 11:00:00 AM,4.934,
213,02/19/24 12:00:00 PM,5.655,
214,02/19/24 01:00:00 PM,7.882,
215,02/19/24 02:00:00 PM,11.334,
216,02/19/24 03:00:00 PM,9.176,
217,02/19/24 04:00:00 PM,9.768,
218,02/19/24 05:00:00 PM,9.176,
219,02/19/24 06:00:00 PM,7.882,
220,02/19/24 07:00:00 PM,3.155,
221,02/19/24 08:00:00 PM,3.683,
222,02/19/24 09:00:00 PM,2.303,
223,02/19/24 10:00:00 PM,1.439,
224,02/19/24 11:00:00 PM,0.563,
225,02/20/24 12:00:00 AM,2.410,
226,02/20/24 01:00:00 AM,1.439,
227,02/20/24 02:00:00 AM,0.784,
228,02/20/24 03:00:00 AM,1.003,
229,02/20/24 04:00:00 AM,0.893,
230,02/20/24 05:00:00 AM,0.232,
231,02/20/24 06:00:00 AM,-0.102,
232,02/20/24 07:00:00 AM,0.232,
233,02/20/24 08:00:00 AM,0.010,
234,02/20/24 09:00:00 AM,3.472,
235,02/20/24 10:00:00 AM,7.079,
236,02/20/24 11:00:00 AM,10.259,
237,02/20/24 12:00:00 PM,9.571,
238,02/20/24 01:00:00 PM,8.680,
239,02/20/24 02:00:00 PM,9.965,
240,02/20/24 03:00:00 PM,8.581,
241,02/20/24 04:00:00 PM,8.879,
242,02/20/24 05:00:00 PM,8.382,
243,02/20/24 06:00:00 PM,7.682,
244,02/20/24 07:00:00 PM,5.347,
245,02/20/24 08:00:00 PM,3.683,
246,02/20/24 09:00:00 PM,3.998,
247,02/20/24 10:00:00 PM,6.877,
248,02/20/24 11:00:00 PM,5.860,
249,02/21/24 12:00:00 AM,5.141,
250,02/21/24 01:00:00 AM,3.049,
251,02/21/24 02:00:00 AM,2.624,
252,02/21/24 03:00:00 AM,1.330,
253,02/21/24 04:00:00 AM,0.453,
254,02/21/24 05:00:00 AM,0.010,
255,02/21/24 06:00:00 AM,3.472,
256,02/21/24 07:00:00 AM,4.207,
257,02/21/24 08:00:00 AM,4.311,
258,02/21/24 09:00:00 AM,5.450,
259,02/21/24 10:00:00 AM,8.082,
260,02/21/24 11:00:00 AM,8.978,
261,02/21/24 12:00:00 PM,10.651,
262,02/21/24 01:00:00 PM,11.916,
263,02/21/24 02:00:00 PM,10.944,
264,02/21/24 03:00:00 PM,13.461,
265,02/21/24 04:00:00 PM,12.207,
266,02/21/24 05:00:00 PM,9.077,
267,02/21/24 06:00:00 PM,7.882,
268,02/21/24 07:00:00 PM,4.934,
269,02/21/24 08:00:00 PM,2.303,
270,02/21/24 09:00:00 PM,0.893,
271,02/21/24 10:00:00 PM,3.155,
272,02/21/24 11:00:00 PM,1.439,
273,02/22/24 12:00:00 AM,1.764,
274,02/22/24 01:00:00 AM,1.872,
275,02/22/24 02:00:00 AM,1.003,
276,02/22/24 03:00:00 AM,1.112,
277,02/22/24 04:00:00 AM,-0.102,
278,02/22/24 05:00:00 AM,-0.662,
279,02/22/24 06:00:00 AM,-0.887,
280,02/22/24 07:00:00 AM,-0.437,
281,02/22/24 08:00:00 AM,-0.887,
282,02/22/24 09:00:00 AM,1.003,
283,02/22/24 10:00:00 AM,3.578,
284,02/22/24 11:00:00 AM,4.831,
285,02/22/24 12:00:00 PM,5.962,
286,02/22/24 01:00:00 PM,5.552,
287,02/22/24 02:00:00 PM,7.381,
288,02/22/24 03:00:00 PM,7.481,
289,02/22/24 04:00:00 PM,5.552,
290,02/22/24 05:00:00 PM,5.552,
291,02/22/24 06:00:00 PM,4.623,
292,02/22/24 07:00:00 PM,1.003,
293,02/22/24 08:00:00 PM,-1.341,
294,02/22/24 09:00:00 PM,-1.114,
295,02/22/24 10:00:00 PM,-2.261,
296,02/22/24 11:00:00 PM,-1.684,
297,02/23/24 12:00:00 AM,-2.377,
298,02/23/24 01:00:00 AM,-2.844,
299,02/23/24 02:00:00 AM,-3.079,
300,02/23/24 03:00:00 AM,-3.434,
301,02/23/24 04:00:00 AM,-4.393,
302,02/23/24 05:00:00 AM,-4.031,
303,02/23/24 06:00:00 AM,-5.125,
304,02/23/24 07:00:00 AM,-5.620,
305,02/23/24 08:00:00 AM,-5.496,
306,02/23/24 09:00:00 AM,-4.152,
307,02/23/24 10:00:00 AM,0.563,
308,02/23/24 11:00:00 AM,1.980,
309,02/23/24 12:00:00 PM,4.831,
310,02/23/24 01:00:00 PM,5.552,
311,02/23/24 02:00:00 PM,7.582,
312,02/23/24 03:00:00 PM,7.179,
313,02/23/24 04:00:00 PM,6.674,
314,02/23/24 05:00:00 PM,6.166,
315,02/23/24 06:00:00 PM,4.102,
316,02/23/24 07:00:00 PM,0.232,
317,02/23/24 08:00:00 PM,-0.774,
318,02/23/24 09:00:00 PM,-1.001,
319,02/23/24 10:00:00 PM,-1.684,
320,02/23/24 11:00:00 PM,-1.684,
321,02/24/24 12:00:00 AM,-1.914,
322,02/24/24 01:00:00 AM,-2.610,
323,02/24/24 02:00:00 AM,-3.197,
324,02/24/24 03:00:00 AM,-3.553,
325,02/24/24 04:00:00 AM,-3.911,
326,02/24/24 05:00:00 AM,-3.672,
327,02/24/24 06:00:00 AM,-4.880,
328,02/24/24 07:00:00 AM,-4.393,
329,02/24/24 08:00:00 AM,-4.393,
330,02/24/24 09:00:00 AM,-2.962,
331,02/24/24 10:00:00 AM,1.439,
332,02/24/24 11:00:00 AM,3.683,
333,02/24/24 12:00:00 PM,5.450,
334,02/24/24 01:00:00 PM,7.179,
335,02/24/24 02:00:00 PM,8.978,
336,02/24/24 03:00:00 PM,8.082,
337,02/24/24 04:00:00 PM,8.082,
338,02/24/24 05:00:00 PM,7.179,
339,02/24/24 06:00:00 PM,6.471,
340,02/24/24 07:00:00 PM,2.410,
341,02/24/24 08:00:00 PM,1.112,
342,02/24/24 09:00:00 PM,-0.549,
343,02/24/24 10:00:00 PM,-0.437,
344,02/24/24 11:00:00 PM,-0.774,
345,02/25/24 12:00:00 AM,-1.799,
346,02/25/24 01:00:00 AM,-2.145,
347,02/25/24 02:00:00 AM,-2.030,
348,02/25/24 03:00:00 AM,-1.684,
349,02/25/24 04:00:00 AM,-1.914,
350,02/25/24 05:00:00 AM,-2.030,
351,02/25/24 06:00:00 AM,-1.684,
352,02/25/24 07:00:00 AM,-0.662,
353,02/25/24 08:00:00 AM,-0.102,
354,02/25/24 09:00:00 AM,1.112,
355,02/25/24 10:00:00 AM,5.860,
356,02/25/24 11:00:00 AM,8.879,
357,02/25/24 12:00:00 PM,8.978,
358,02/25/24 01:00:00 PM,9.571,
359,02/25/24 02:00:00 PM,11.819,
360,02/25/24 03:00:00 PM,10.651,
361,02/25/24 04:00:00 PM,11.334,
362,02/25/24 05:00:00 PM,10.846,
363,02/25/24 06:00:00 PM,9.077,
364,02/25/24 07:00:00 PM,6.370,
365,02/25/24 08:00:00 PM,4.415,
366,02/25/24 09:00:00 PM,2.943,
367,02/25/24 10:00:00 PM,6.877,
368,02/25/24 11:00:00 PM,6.775,
369,02/26/24 12:00:00 AM,7.882,
370,02/26/24 01:00:00 AM,8.082,
371,02/26/24 02:00:00 AM,8.082,
372,02/26/24 03:00:00 AM,6.978,
373,02/26/24 04:00:00 AM,5.450,
374,02/26/24 05:00:00 AM,5.655,
375,02/26/24 06:00:00 AM,4.623,
376,02/26/24 07:00:00 AM,2.410,
377,02/26/24 08:00:00 AM,-0.102,
378,02/26/24 09:00:00 AM,6.064,
379,02/26/24 10:00:00 AM,9.768,
380,02/26/24 11:00:00 AM,11.722,
381,02/26/24 12:00:00 PM,12.013,
382,02/26/24 01:00:00 PM,12.304,
383,02/26/24 02:00:00 PM,14.613,
384,02/26/24 03:00:00 PM,14.038,
385,02/26/24 04:00:00 PM,13.846,
386,02/26/24 05:00:00 PM,12.304,
387,02/26/24 06:00:00 PM,10.357,
388,02/26/24 07:00:00 PM,8.182,
389,02/26/24 08:00:00 PM,7.983,
390,02/26/24 09:00:00 PM,8.282,
391,02/26/24 10:00:00 PM,7.983,
392,02/26/24 11:00:00 PM,7.682,
393,02/27/24 12:00:00 AM,7.381,
394,02/27/24 01:00:00 AM,7.179,
395,02/27/24 02:00:00 AM,6.775,
396,02/27/24 03:00:00 AM,6.877,
397,02/27/24 04:00:00 AM,6.573,
398,02/27/24 05:00:00 AM,6.370,
399,02/27/24 06:00:00 AM,5.962,
400,02/27/24 07:00:00 AM,5.141,
401,02/27/24 08:00:00 AM,1.330,
402,02/27/24 09:00:00 AM,-0.102,
403,02/27/24 10:00:00 AM,1.112,
404,02/27/24 11:00:00 AM,1.764,
405,02/27/24 12:00:00 PM,2.088,
406,02/27/24 01:00:00 PM,2.195,
407,02/27/24 02:00:00 PM,2.730,
408,02/27/24 03:00:00 PM,2.195,
409,02/27/24 04:00:00 PM,0.893,
410,02/27/24 05:00:00 PM,0.563,
411,02/27/24 06:00:00 PM,-1.114,
412,02/27/24 07:00:00 PM,-2.610,
413,02/27/24 08:00:00 PM,-4.272,
414,02/27/24 09:00:00 PM,-5.496,
415,02/27/24 10:00:00 PM,-5.995,
416,02/27/24 11:00:00 PM,-8.182,
417,02/28/24 12:00:00 AM,-9.252,
418,02/28/24 01:00:00 AM,-9.937,
419,02/28/24 02:00:00 AM,-10.493,
420,02/28/24 03:00:00 AM,-10.493,
421,02/28/24 04:00:00 AM,-10.353,
422,02/28/24 05:00:00 AM,-9.525,
423,02/28/24 06:00:00 AM,-9.799,
424,02/28/24 07:00:00 AM,-10.916,
425,02/28/24 08:00:00 AM,-9.937,
426,02/28/24 09:00:00 AM,-7.010,
427,02/28/24 10:00:00 AM,-3.911,
428,02/28/24 11:00:00 AM,-3.079,
429,02/28/24 12:00:00 PM,0.232,
430,02/28/24 01:00:00 PM,1.872,
431,02/28/24 02:00:00 PM,2.943,
432,02/28/24 03:00:00 PM,3.472,
433,02/28/24 04:00:00 PM,3.261,
434,02/28/24 05:00:00 PM,2.837,
435,02/28/24 06:00:00 PM,1.330,
436,02/28/24 07:00:00 PM,-2.727,
437,02/28/24 08:00:00 PM,-3.672,
438,02/28/24 09:00:00 PM,-4.514,
439,02/28/24 10:00:00 PM,-5.003,
440,02/28/24 11:00:00 PM,-4.636,
441,02/29/24 12:00:00 AM,-4.514,
442,02/29/24 01:00:00 AM,-5.995,
443,02/29/24 02:00:00 AM,-6.499,
444,02/29/24 03:00:00 AM,-7.010,
445,02/29/24 04:00:00 AM,-7.267,
446,02/29/24 05:00:00 AM,-7.527,
447,02/29/24 06:00:00 AM,-6.499,
448,02/29/24 07:00:00 AM,-6.882,
449,02/29/24 08:00:00 AM,-7.918,
450,02/29/24 09:00:00 AM,-4.152,
451,02/29/24 10:00:00 AM,1.003,
452,02/29/24 11:00:00 AM,2.730,
453,02/29/24 12:00:00 PM,4.727,
454,02/29/24 01:00:00 PM,6.370,
455,02/29/24 02:00:00 PM,7.682,
456,02/29/24 03:00:00 PM,7.983,
457,02/29/24 04:00:00 PM,8.082,
458,02/29/24 05:00:00 PM,7.983,
459,02/29/24 06:00:00 PM,5.450,
460,02/29/24 07:00:00 PM,1.764,
461,02/29/24 08:00:00 PM,0.121,
462,02/29/24 09:00:00 PM,-0.549,
463,02/29/24 10:00:00 PM,-1.228,
464,02/29/24 11:00:00 PM,-1.114,
465,03/01/24 12:00:00 AM,2.195,
466,03/01/24 01:00:00 AM,2.303,
467,03/01/24 02:00:00 AM,-0.774,
468,03/01/24 03:00:00 AM,-2.377,
469,03/01/24 04:00:00 AM,-2.145,
470,03/01/24 05:00:00 AM,-3.079,
471,03/01/24 06:00:00 AM,2.410,
472,03/01/24 07:00:00 AM,2.410,
473,03/01/24 08:00:00 AM,1.439,
474,03/01/24 09:00:00 AM,3.998,
475,03/01/24 10:00:00 AM,7.682,
476,03/01/24 11:00:00 AM,10.455,
477,03/01/24 12:00:00 PM,10.651,
478,03/01/24 01:00:00 PM,11.528,
479,03/01/24 02:00:00 PM,12.787,
480,03/01/24 03:00:00 PM,12.497,
481,03/01/24 04:00:00 PM,13.173,
482,03/01/24 05:00:00 PM,12.497,
483,03/01/24 06:00:00 PM,10.161,
484,03/01/24 07:00:00 PM,6.573,
485,03/01/24 08:00:00 PM,3.155,
486,03/01/24 09:00:00 PM,3.155,
487,03/01/24 10:00:00 PM,8.581,
488,03/01/24 11:00:00 PM,8.282,
489,03/02/24 12:00:00 AM,8.779,
490,03/02/24 01:00:00 AM,8.382,
491,03/02/24 02:00:00 AM,7.782,
492,03/02/24 03:00:00 AM,7.079,
493,03/02/24 04:00:00 AM,6.370,
494,03/02/24 05:00:00 AM,5.655,
495,03/02/24 06:00:00 AM,4.934,
496,03/02/24 07:00:00 AM,4.727,
497,03/02/24 08:00:00 AM,4.519,
498,03/02/24 09:00:00 AM,5.757,
499,03/02/24 10:00:00 AM,6.978,
500,03/02/24 11:00:00 AM,9.077,
501,03/02/24 12:00:00 PM,10.553,
502,03/02/24 01:00:00 PM,11.431,
503,03/02/24 02:00:00 PM,12.110,
504,03/02/24 03:00:00 PM,13.750,
505,03/02/24 04:00:00 PM,10.259,
506,03/02/24 05:00:00 PM,10.846,
507,03/02/24 06:00:00 PM,11.041,
508,03/02/24 07:00:00 PM,9.965,
509,03/02/24 08:00:00 PM,8.182,
510,03/02/24 09:00:00 PM,8.182,
511,03/02/24 10:00:00 PM,7.179,
512,03/02/24 11:00:00 PM,6.471,
513,03/03/24 12:00:00 AM,0.453,
514,03/03/24 01:00:00 AM,-3.316,
515,03/03/24 02:00:00 AM,-4.514,
516,03/03/24 03:00:00 AM,-5.003,
517,03/03/24 04:00:00 AM,-5.496,
518,03/03/24 05:00:00 AM,-5.372,
519,03/03/24 06:00:00 AM,-5.249,
520,03/03/24 07:00:00 AM,-5.249,
521,03/03/24 08:00:00 AM,-5.249,
522,03/03/24 09:00:00 AM,-5.496,
523,03/03/24 10:00:00 AM,-1.684,
524,03/03/24 11:00:00 AM,1.548,
525,03/03/24 12:00:00 PM,3.049,
526,03/03/24 01:00:00 PM,2.837,
527,03/03/24 02:00:00 PM,3.893,
528,03/03/24 03:00:00 PM,5.757,
529,03/03/24 04:00:00 PM,5.552,
530,03/03/24 05:00:00 PM,3.155,
531,03/03/24 06:00:00 PM,2.517,
532,03/03/24 07:00:00 PM,0.784,
533,03/03/24 08:00:00 PM,0.121,
534,03/03/24 09:00:00 PM,-0.213,
535,03/03/24 10:00:00 PM,-2.962,
536,03/03/24 11:00:00 PM,-4.031,
537,03/04/24 12:00:00 AM,-4.514,
538,03/04/24 01:00:00 AM,-5.003,
539,03/04/24 02:00:00 AM,-5.372,
540,03/04/24 03:00:00 AM,-5.620,
541,03/04/24 04:00:00 AM,-5.620,
542,03/04/24 05:00:00 AM,-5.745,
543,03/04/24 06:00:00 AM,-5.745,
544,03/04/24 07:00:00 AM,-5.620,
545,03/04/24 08:00:00 AM,-5.620,
546,03/04/24 09:00:00 AM,-4.031,
547,03/04/24 10:00:00 AM,-0.774,
548,03/04/24 11:00:00 AM,1.003,
549,03/04/24 12:00:00 PM,0.674,
550,03/04/24 01:00:00 PM,1.439,
551,03/04/24 02:00:00 PM,1.764,
552,03/04/24 03:00:00 PM,-0.213,
553,03/04/24 04:00:00 PM,0.563,
554,03/04/24 05:00:00 PM,0.121,
555,03/04/24 06:00:00 PM,-0.549,
556,03/04/24 07:00:00 PM,-1.001,
557,03/04/24 08:00:00 PM,-2.494,
558,03/04/24 09:00:00 PM,-1.456,
559,03/04/24 10:00:00 PM,-2.377,
560,03/04/24 11:00:00 PM,-2.727,
561,03/05/24 12:00:00 AM,-2.962,
562,03/05/24 01:00:00 AM,-2.727,
563,03/05/24 02:00:00 AM,-2.494,
564,03/05/24 03:00:00 AM,-2.962,
565,03/05/24 04:00:00 AM,-2.494,
566,03/05/24 05:00:00 AM,-2.727,
567,03/05/24 06:00:00 AM,-2.727,
568,03/05/24 07:00:00 AM,-2.727,
569,03/05/24 08:00:00 AM,-2.030,
570,03/05/24 09:00:00 AM,0.010,
571,03/05/24 10:00:00 AM,1.764,
572,03/05/24 11:00:00 AM,2.837,
573,03/05/24 12:00:00 PM,5.962,
574,03/05/24 01:00:00 PM,5.244,
575,03/05/24 02:00:00 PM,8.382,
576,03/05/24 03:00:00 PM,7.381,
577,03/05/24 04:00:00 PM,6.775,
578,03/05/24 05:00:00 PM,4.727,
579,03/05/24 06:00:00 PM,4.623,
580,03/05/24 07:00:00 PM,1.548,
581,03/05/24 08:00:00 PM,-0.662,
582,03/05/24 09:00:00 PM,-0.437,
583,03/05/24 10:00:00 PM,-0.549,
584,03/05/24 11:00:00 PM,-0.549,
585,03/06/24 12:00:00 AM,-0.213,
586,03/06/24 01:00:00 AM,0.121,
587,03/06/24 02:00:00 AM,0.232,
588,03/06/24 03:00:00 AM,-0.887,
589,03/06/24 04:00:00 AM,-0.325,
590,03/06/24 05:00:00 AM,-0.662,
591,03/06/24 06:00:00 AM,0.010,
592,03/06/24 07:00:00 AM,0.121,
593,03/06/24 08:00:00 AM,-0.213,
594,03/06/24 09:00:00 AM,3.049,
595,03/06/24 10:00:00 AM,4.934,
596,03/06/24 11:00:00 AM,7.280,
597,03/06/24 12:00:00 PM,7.179,
598,03/06/24 01:00:00 PM,7.983,
599,03/06/24 02:00:00 PM,7.882,
600,03/06/24 03:00:00 PM,8.879,
601,03/06/24 04:00:00 PM,8.382,
602,03/06/24 05:00:00 PM,5.860,
603,03/06/24 06:00:00 PM,5.757,
604,03/06/24 07:00:00 PM,4.623,
605,03/06/24 08:00:00 PM,3.049,
606,03/06/24 09:00:00 PM,3.049,
607,03/06/24 10:00:00 PM,2.730,
608,03/06/24 11:00:00 PM,3.367,
609,03/07/24 12:00:00 AM,3.367,
610,03/07/24 01:00:00 AM,2.195,
611,03/07/24 02:00:00 AM,2.624,
612,03/07/24 03:00:00 AM,2.410,
613,03/07/24 04:00:00 AM,0.563,
614,03/07/24 05:00:00 AM,0.010,
615,03/07/24 06:00:00 AM,1.221,
616,03/07/24 07:00:00 AM,0.010,
