Plot Title: HOBO_2352,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 21162352, SEN S/N: 21162352)",End Of File (LGR S/N: 21162352)
1,02/10/24 04:00:00 PM,1.221,
2,02/10/24 05:00:00 PM,-0.213,
3,02/10/24 06:00:00 PM,-2.261,
4,02/10/24 07:00:00 PM,-2.610,
5,02/10/24 08:00:00 PM,-2.727,
6,02/10/24 09:00:00 PM,-4.031,
7,02/10/24 10:00:00 PM,-4.272,
8,02/10/24 11:00:00 PM,-4.880,
9,02/11/24 12:00:00 AM,-5.995,
10,02/11/24 01:00:00 AM,-7.397,
11,02/11/24 02:00:00 AM,-8.314,
12,02/11/24 03:00:00 AM,-8.982,
13,02/11/24 04:00:00 AM,-10.774,
14,02/11/24 05:00:00 AM,-11.200,
15,02/11/24 06:00:00 AM,-10.916,
16,02/11/24 07:00:00 AM,-11.631,
17,02/11/24 08:00:00 AM,-11.344,
18,02/11/24 09:00:00 AM,-9.662,
19,02/11/24 10:00:00 AM,-7.138,
20,02/11/24 11:00:00 AM,-1.684,
21,02/11/24 12:00:00 PM,-1.341,
22,02/11/24 01:00:00 PM,-1.228,
23,02/11/24 02:00:00 PM,0.010,
24,02/11/24 03:00:00 PM,0.010,
25,02/11/24 04:00:00 PM,0.121,
26,02/11/24 05:00:00 PM,-0.549,
27,02/11/24 06:00:00 PM,-1.914,
28,02/11/24 07:00:00 PM,-5.125,
29,02/11/24 08:00:00 PM,-6.373,
30,02/11/24 09:00:00 PM,-6.373,
31,02/11/24 10:00:00 PM,-6.882,
32,02/11/24 11:00:00 PM,-7.267,
33,02/12/24 12:00:00 AM,-7.267,
34,02/12/24 01:00:00 AM,-7.657,
35,02/12/24 02:00:00 AM,-8.182,
36,02/12/24 03:00:00 AM,-8.580,
37,02/12/24 04:00:00 AM,-8.314,
38,02/12/24 05:00:00 AM,-6.499,
39,02/12/24 06:00:00 AM,-6.754,
40,02/12/24 07:00:00 AM,-9.388,
41,02/12/24 08:00:00 AM,-10.353,
42,02/12/24 09:00:00 AM,-8.182,
43,02/12/24 10:00:00 AM,-5.620,
44,02/12/24 11:00:00 AM,-0.213,
45,02/12/24 12:00:00 PM,0.343,
46,02/12/24 01:00:00 PM,1.548,
47,02/12/24 02:00:00 PM,2.837,
48,02/12/24 03:00:00 PM,2.730,
49,02/12/24 04:00:00 PM,2.517,
50,02/12/24 05:00:00 PM,1.656,
